       8.382258192471e-04       1.366875368252e+03 
       8.876030025440e-04       1.472379549767e+03 
       9.397048726095e-04       1.585956862595e+03 
       9.945757238440e-04       1.707947631615e+03 
       1.052237835888e-03       1.838638459176e+03 
       1.112690541449e-03       1.978234779087e+03 
       1.175910208936e-03       2.126862572300e+03 
       1.241851147521e-03       2.284572940136e+03 
       1.310447357046e-03       2.451328648788e+03 
       1.381614971972e-03       2.627033955155e+03 
       1.455255198179e-03       2.811515349469e+03 
       1.531257519706e-03       3.004516449240e+03 
       1.609502959073e-03       3.205704084396e+03 
       1.689867204073e-03       3.414710226585e+03 
       1.772223457495e-03       3.631123305761e+03 
       1.856444915198e-03       3.854496640613e+03 
       1.942406824605e-03       4.084382103995e+03 
       2.029988115173e-03       4.320301979103e+03 
       2.119072621988e-03       4.561780936232e+03 
       2.209549943201e-03       4.808336526126e+03 
       2.301315982587e-03       5.059486530053e+03 
       2.394273232006e-03       5.314785534475e+03 
       2.488330847030e-03       5.573772673960e+03 
       2.583404564252e-03       5.836017206115e+03 
       2.679416502494e-03       6.101125137006e+03 
       2.776294883144e-03       6.368685108150e+03 
       2.873973698193e-03       6.638340529394e+03 
       2.972392348312e-03       6.909726527086e+03 
       3.071495268075e-03       7.182511904104e+03 
       3.171231550918e-03       7.456379753995e+03 
       3.271554582835e-03       7.731036656372e+03 
       3.372421690967e-03       8.006202295681e+03 
       3.473793810997e-03       8.281607965010e+03 
       3.575635175638e-03       8.557026253910e+03 
       3.677913025230e-03       8.832215843413e+03 
       3.780597340602e-03       9.106978880869e+03 
       3.883660597721e-03       9.381100078144e+03 
       3.987077543249e-03       9.654408138787e+03 
       4.090824989859e-03       9.926724040680e+03 
       4.194881630025e-03       1.019788971763e+04 
       4.299227866925e-03       1.046774412309e+04 
       4.403845661089e-03       1.073614931937e+04 
       4.508718391481e-03       1.100301716965e+04 
       4.613830729711e-03       1.126816844532e+04 
       4.719168526203e-03       1.153152337445e+04 
       4.824718707188e-03       1.179296547245e+04 
       4.930469181485e-03       1.205244490715e+04 
       5.036408756138e-03       1.230977196570e+04 
       5.142527060029e-03       1.256499373222e+04 
       5.248814474687e-03       1.281792859436e+04 
