       8.109286841071e-04       4.542905964679e+02 
       8.662244723532e-04       4.881295541225e+02 
       9.251059294605e-04       5.248408955944e+02 
       9.876549713110e-04       5.646201641109e+02 
       1.053915779477e-03       6.076476589759e+02 
       1.123892384410e-03       6.540814378543e+02 
       1.197548335300e-03       7.040506005743e+02 
       1.274808514709e-03       7.576498638860e+02 
       1.355562896181e-03       8.149355736799e+02 
       1.439671823089e-03       8.759229392209e+02 
       1.526972249930e-03       9.405890071616e+02 
       1.617284351478e-03       1.008871965249e+03 
       1.710417961688e-03       1.080681916212e+03 
       1.806178424479e-03       1.155903868342e+03 
       1.904371586590e-03       1.234399521596e+03 
       2.004807806660e-03       1.316016472270e+03 
       2.107304973159e-03       1.400594202432e+03 
       2.211690607418e-03       1.487964640721e+03 
       2.317803176910e-03       1.577956513003e+03 
       2.425492764091e-03       1.670393290786e+03 
       2.534621235541e-03       1.765116122131e+03 
       2.645062042946e-03       1.861945277098e+03 
       2.756699767821e-03       1.960723478750e+03 
       2.869429500503e-03       2.061294341199e+03 
       2.983156123563e-03       2.163507945653e+03 
       3.097793551845e-03       2.267219876154e+03 
       3.213263966531e-03       2.372293749742e+03 
       3.329497068796e-03       2.478591597743e+03 
       3.446429369582e-03       2.585998307359e+03 
       3.564003525294e-03       2.694393001624e+03 
       3.682167724338e-03       2.803661145377e+03 
       3.800875126085e-03       2.913710358526e+03 
       3.920083351504e-03       3.024420242717e+03 
       4.039754023280e-03       3.135718494762e+03 
       4.159852352352e-03       3.247502778435e+03 
       4.280346767342e-03       3.359684133013e+03 
       4.401208583173e-03       3.472202571486e+03 
       4.522411705224e-03       3.584954164216e+03 
       4.643932365469e-03       3.697894835419e+03 
       4.765748887296e-03       3.810949692650e+03 
       4.887841475928e-03       3.924055926933e+03 
       5.010192031669e-03       4.037153079465e+03 
       5.132783983408e-03       4.150178606149e+03 
       5.255602140150e-03       4.263088650629e+03 
       5.378632558497e-03       4.375834964087e+03 
       5.501862424307e-03       4.488381142943e+03 
       5.625279946889e-03       4.600634358074e+03 
       5.748874264345e-03       4.712568532582e+03 
       5.872635358769e-03       4.824150086798e+03 
       5.996553980212e-03       4.935343013602e+03 
       6.120621578425e-03       5.046120762712e+03 
       6.244830241507e-03       5.156421187308e+03 
       6.369172640700e-03       5.266284704586e+03 
       6.493641980659e-03       5.375594726936e+03 
       6.618231954591e-03       5.484365055150e+03 
       6.742936703742e-03       5.592541241889e+03 
       6.867750780772e-03       5.700130193883e+03 
       6.992669116594e-03       5.807073614606e+03 
       7.117686990319e-03       5.913374258606e+03 
       7.242800001993e-03       6.018979069655e+03 
       7.368004047814e-03       6.123896330062e+03 
       7.493295297610e-03       6.228093664250e+03 
       7.618670174317e-03       6.331525572635e+03 
       7.744125335280e-03       6.434235050002e+03 
       7.869657655187e-03       6.536139710414e+03 
       7.995264210481e-03       6.637265408014e+03 
       8.120942265100e-03       6.737613707791e+03 
       8.246689257429e-03       6.837086097922e+03 
       8.372502788341e-03       6.935739839807e+03 
       8.498380610227e-03       7.033583506356e+03 
       8.624320616923e-03       7.130570380113e+03 
       8.750320834459e-03       7.226618433635e+03 
       8.876379412544e-03       7.321875498423e+03 
       9.002494616728e-03       7.416205606004e+03 
       9.128664821185e-03       7.509601241759e+03 
       9.254888502051e-03       7.602076557004e+03 
       9.381164231278e-03       7.693676843011e+03 
       9.507490670963e-03       7.784336924253e+03 
       9.633866568099e-03       7.874060365957e+03 
       9.760290749724e-03       7.962819504263e+03 
       9.886762118428e-03       8.050633014332e+03 
       1.001327964820e-02       8.137516146649e+03 
       1.013984238057e-02       8.223432420851e+03 
       1.026644942103e-02       8.308304493915e+03 
       1.039309993574e-02       8.392308521020e+03 
       1.051979314842e-02       8.475254457979e+03 
       1.064652833752e-02       8.557270729165e+03 
       1.077330483355e-02       8.638240881518e+03 
       1.090012201660e-02       8.718250567863e+03 
       1.102697931411e-02       8.797312836799e+03 
       1.115387619864e-02       8.875325884774e+03 
       1.128081218596e-02       8.952342466442e+03 
       1.140778683320e-02       9.028369940063e+03 
       1.153479973709e-02       9.103384810925e+03 
       1.166185053239e-02       9.177400809268e+03 
       1.178893889042e-02       9.250404229230e+03 
       1.191606451765e-02       9.322400716703e+03 
       1.204322715441e-02       9.393373085187e+03 
       1.217042657373e-02       9.463389381674e+03 
       1.229766258020e-02       9.532350430522e+03 
       1.242493500893e-02       9.600352507339e+03 
       1.255224372461e-02       9.667324898790e+03 
       1.267958862062e-02       9.733274657125e+03 
       1.280696961819e-02       9.798232886493e+03 
       1.293438666565e-02       9.862188147647e+03 
       1.306183973771e-02       9.925116516330e+03 
       1.318932883480e-02       9.987069827582e+03 
       1.331685398251e-02       1.004801621074e+04 
       1.344441523097e-02       1.010794107828e+04 
       1.357201265440e-02       1.016687072364e+04 
       1.369964635061e-02       1.022481414020e+04 
       1.382731644057e-02       1.028177811101e+04 
       1.395502306805e-02       1.033772852068e+04 
       1.408276639924e-02       1.039268748403e+04 
       1.421054662246e-02       1.044665580684e+04 
       1.433836394783e-02       1.049963373176e+04 
       1.446621860708e-02       1.055163272360e+04 
       1.459411085329e-02       1.060265936722e+04 
       1.472204096068e-02       1.065267047582e+04 
       1.485000922450e-02       1.070174689686e+04 
       1.497801596082e-02       1.074984481457e+04 
       1.510606150647e-02       1.079697326625e+04 
       1.523414621895e-02       1.084314350911e+04 
       1.536227047630e-02       1.088833405581e+04 
       1.549043467713e-02       1.093258209951e+04 
       1.561863924058e-02       1.097590586081e+04 
       1.574688460627e-02       1.101824319386e+04 
       1.587517123438e-02       1.105966045614e+04 
       1.600349960568e-02       1.110012681505e+04 
       1.613187022155e-02       1.113966359554e+04 
       1.626028360411e-02       1.117830009817e+04 
       1.638874029627e-02       1.121598402235e+04 
       1.651724086189e-02       1.125275708048e+04 
       1.664578588589e-02       1.128861498237e+04 
       1.677437597438e-02       1.132356932995e+04 
       1.690301175489e-02       1.135764120682e+04 
       1.703169387649e-02       1.139077665877e+04 
       1.716042301003e-02       1.142303969960e+04 
       1.728919984837e-02       1.145441990696e+04 
       1.741802510658e-02       1.148493959324e+04 
       1.754689952220e-02       1.151458203582e+04 
       1.767582385556e-02       1.154332336244e+04 
       1.780479889000e-02       1.157122829730e+04 
       1.793382543220e-02       1.159824644202e+04 
       1.806290431252e-02       1.162448205673e+04 
       1.819203638530e-02       1.164982226762e+04 
       1.832122252925e-02       1.167433390388e+04 
       1.845046364779e-02       1.169799414872e+04 
       1.857976066942e-02       1.172086072747e+04 
       1.870911454820e-02       1.174289224944e+04 
       1.883852626409e-02       1.176411323977e+04 
       1.896799682342e-02       1.178452780362e+04 
       1.909752725935e-02       1.180412743200e+04 
       1.922711863234e-02       1.182293290510e+04 
       1.935677203063e-02       1.184095296897e+04 
       1.948648857078e-02       1.185821356944e+04 
       1.961626939816e-02       1.187468045036e+04 
       1.974611568753e-02       1.189037419138e+04 
       1.987602864357e-02       1.190530804561e+04 
       2.000600950152e-02       1.191950799024e+04 
       2.013605952774e-02       1.193291560173e+04 
       2.026618002036e-02       1.194562037752e+04 
       2.039637230993e-02       1.195757544358e+04 
       2.052663776006e-02       1.196880891910e+04 
       2.065697776817e-02       1.197931156951e+04 
       2.078739376615e-02       1.198909744748e+04 
       2.091788722113e-02       1.199818389423e+04 
       2.104845963622e-02       1.200654804159e+04 
       2.117911255130e-02       1.201424462476e+04 
       2.130984754388e-02       1.202123435179e+04 
       2.144066622984e-02       1.202757758005e+04 
       2.157157026440e-02       1.203321028656e+04 
       2.170256134292e-02       1.203818790494e+04 
       2.183364120187e-02       1.204251934231e+04 
       2.196481161978e-02       1.204619771577e+04 
       2.209607441819e-02       1.204922182755e+04 
       2.222743146267e-02       1.205162912706e+04 
       2.235888466386e-02       1.205337385484e+04 
       2.249043597854e-02       1.205451601089e+04 
       2.262208741075e-02       1.205508773963e+04 
       2.275384101289e-02       1.205497245448e+04 
       2.288569888696e-02       1.205433093144e+04 
       2.301766318570e-02       1.205304105577e+04 
       2.314973611390e-02       1.205115548462e+04 
       2.328191992965e-02       1.204875272143e+04 
       2.341421694571e-02       1.204571542212e+04 
       2.354662953084e-02       1.204214933575e+04 
       2.367916011126e-02       1.203801708440e+04 
       2.381181117208e-02       1.203338864343e+04 
       2.394458525882e-02       1.202811480803e+04 
       2.407748497898e-02       1.202237918115e+04 
       2.421051300365e-02       1.201610518036e+04 
       2.434367206912e-02       1.200930441909e+04 
       2.447696497869e-02       1.200200044368e+04 
       2.461039460434e-02       1.199420322318e+04 
       2.474396388862e-02       1.198587352410e+04 
       2.487767584655e-02       1.197705033955e+04 
       2.501153356752e-02       1.196776587117e+04 
       2.514554021734e-02       1.195801097127e+04 
       2.527969904032e-02       1.194777384896e+04 
       2.541401336145e-02       1.193706464519e+04 
       2.554848658857e-02       1.192591327491e+04 
       2.568312221475e-02       1.191430462893e+04 
       2.581792382060e-02       1.190227535933e+04 
       2.595289507680e-02       1.188977740017e+04 
       2.608803974662e-02       1.187691210051e+04 
       2.622336168854e-02       1.186354702060e+04 
       2.635886485905e-02       1.184978609716e+04 
       2.649455331541e-02       1.183564545348e+04 
       2.663043121864e-02       1.182108263105e+04 
       2.676650283651e-02       1.180612435538e+04 
       2.690277254671e-02       1.179079588877e+04 
       2.703924484013e-02       1.177507244621e+04 
       2.717592432421e-02       1.175898468784e+04 
       2.731281572644e-02       1.174251276577e+04 
       2.744992389803e-02       1.172568723944e+04 
       2.758725381765e-02       1.170850231902e+04 
       2.772481059538e-02       1.169103968609e+04 
       2.786259947672e-02       1.167309845470e+04 
       2.800062584686e-02       1.165488720421e+04 
       2.813889523500e-02       1.163633348575e+04 
       2.827741331898e-02       1.161751039110e+04 
       2.841618592992e-02       1.159829935495e+04 
       2.855521905720e-02       1.157879423113e+04 
       2.869451885355e-02       1.155902309633e+04 
       2.883409164032e-02       1.153889852500e+04 
       2.897394391309e-02       1.151850534857e+04 
       2.911408234734e-02       1.149779667109e+04 
       2.925451380449e-02       1.147682622410e+04 
       2.939524533812e-02       1.145557989849e+04 
       2.953628420046e-02       1.143405787468e+04 
       2.967763784917e-02       1.141227513522e+04 
       2.981931395436e-02       1.139023093631e+04 
       2.996132040602e-02       1.136794664138e+04 
       3.010366532161e-02       1.134537166940e+04 
       3.024635705411e-02       1.132259659634e+04 
       3.038940420038e-02       1.129954353492e+04 
       3.053281560989e-02       1.127629530757e+04 
       3.067660039380e-02       1.125281431342e+04 
       3.082076793454e-02       1.122911756170e+04 
       3.096532789573e-02       1.120515976184e+04 
       3.111029023264e-02       1.118102334344e+04 
       3.125566520304e-02       1.115670041697e+04 
       3.140146337865e-02       1.113210998627e+04 
       3.154769565707e-02       1.110750438671e+04 
       3.169437327431e-02       1.108258374410e+04 
       3.184150781789e-02       1.105730692771e+04 
       3.198911124060e-02       1.103201612093e+04 
       3.213719587493e-02       1.100650437784e+04 
       3.228577444825e-02       1.098083847098e+04 
       3.243486009863e-02       1.095505388858e+04 
       3.258446639161e-02       1.092900837505e+04 
       3.273460733774e-02       1.090289404398e+04 
